Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
VillaVVilla Hyldevænget 12  4060 Kirke Såby,2.195.000 kr.,23-10-2025Alm. Salg,101 m² 21.733 kr/m²,4,1984,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 16, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
VillaVVilla Banevang 8  8500 Grenaa,750.000 kr.,23-10-2025Alm. Salg,104 m² 7.212 kr/m²,3,0,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Peter Bangs Vej 47, 3. tv  2000 Frederiksberg",7.000.000 kr.,23-10-2025Alm. Salg,117 m² 59.829 kr/m²,5,1972,-2%,Aktuel værdi
VillaVVilla Egevej 37  4970 Rødby,500.000 kr.,23-10-2025Alm. Salg,133 m² 3.759 kr/m²,5,1977,,Aktuel værdi
"FritidshusFFritidshus Arvevej 14, Henne Strand  6854 Henne",1.737.750 kr.,23-10-2025Fam. Salg,103 m² 16.871 kr/m²,4,1981,,Aktuel værdi
LandejendomLLandejendom Ålborgvej 485  9352 Dybvad,650.000 kr.,23-10-2025Alm. Salg,145 m² 4.483 kr/m²,5,1938,-6%,Aktuel værdi
"VillaVVilla Industrivej 38, Bramming  6740 Bramming",5.000.000 kr.,23-10-2025Andet,223 m² 22.422 kr/m²,6,1977,,Aktuel værdi
"VillaVVilla Kragerupgårdsvej 2, Tjørnelunde  4270 Høng",585.000 kr.,23-10-2025Alm. Salg,44 m² 13.295 kr/m²,1,1900,-10%,Aktuel værdi
VillaVVilla Ladbyvej 19  3650 Ølstykke,4.000.000 kr.,23-10-2025Alm. Salg,168 m² 23.810 kr/m²,5,1973,-2%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 24, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 38, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,91 m² 486.813 kr/m²,3,1993,,Aktuel værdi
VillaVVilla Knud Anchers Vej 90B  2610 Rødovre,6.100.000 kr.,23-10-2025Alm. Salg,186 m² 32.796 kr/m²,7,1962,-6%,Aktuel værdi
"VillaVVilla Kildevænget 6, Hvidbjerg  7790 Thyholm",610.000 kr.,23-10-2025Alm. Salg,169 m² 3.609 kr/m²,5,1970,-6%,Aktuel værdi
"VillaVVilla Østkystvejen 362, Voerså  9300 Sæby",498.000 kr.,23-10-2025Alm. Salg,137 m² 3.635 kr/m²,4,1947,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 15, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
VillaVVilla Egernvej 24  8700 Horsens,1.775.000 kr.,23-10-2025Alm. Salg,145 m² 12.241 kr/m²,5,1973,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 4, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1993,,Aktuel værdi
VillaVVilla Lifstrup Hovedvej 37  6715 Esbjerg N,900.000 kr.,23-10-2025Alm. Salg,184 m² 4.891 kr/m²,7,1932,-5%,Aktuel værdi
VillaVVilla Kastanievej 6  7700 Thisted,1.625.000 kr.,23-10-2025Alm. Salg,149 m² 10.906 kr/m²,4,1976,-7%,Aktuel værdi
"FritidshusFFritidshus Sneppevej 39, Villingerød  3120 Dronningmølle",2.390.000 kr.,23-10-2025Alm. Salg,61 m² 39.180 kr/m²,4,1970,-4%,Aktuel værdi
FritidshusFFritidshus Rypevej 4  3120 Dronningmølle,2.425.000 kr.,23-10-2025Alm. Salg,70 m² 34.643 kr/m²,4,1993,-10%,Aktuel værdi
VillaVVilla Hobrovej 764  9230 Svenstrup J,2.025.000 kr.,23-10-2025Alm. Salg,142 m² 14.261 kr/m²,5,1914,,Aktuel værdi
VillaVVilla Præstegårdsvej 26  6500 Vojens,1.100.000 kr.,23-10-2025Alm. Salg,205 m² 5.366 kr/m²,6,1950,-8%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 36, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,91 m² 486.813 kr/m²,3,1993,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 41, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,91 m² 486.813 kr/m²,3,1993,,Aktuel værdi
VillaVVilla Sandefjordvej 10  6100 Haderslev,1.700.000 kr.,23-10-2025Alm. Salg,161 m² 10.559 kr/m²,5,1964,-5%,Aktuel værdi
VillaVVilla Ejbyvej 5  8270 Højbjerg,6.920.000 kr.,23-10-2025Alm. Salg,129 m² 53.643 kr/m²,4,1953,-1%,Aktuel værdi
FritidshusFFritidshus Hjortevej 15  4581 Rørvig,8.000.000 kr.,23-10-2025Alm. Salg,132 m² 60.606 kr/m²,3,2025,-11%,Aktuel værdi
"FritidshusFFritidshus Fyrrevænget 5, Lumsås  4500 Nykøbing Sj",810.400 kr.,23-10-2025Fam. Salg,49 m² 16.539 kr/m²,3,1968,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 39, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,91 m² 486.813 kr/m²,3,1993,,Aktuel værdi
VillaVVilla Askøvej 22  8600 Silkeborg,1.120.000 kr.,23-10-2025Alm. Salg,130 m² 8.615 kr/m²,3,1949,,Aktuel værdi
"VillaVVilla Kirkegade 4, Hjordkær  6230 Rødekro",750.000 kr.,23-10-2025Alm. Salg,229 m² 3.275 kr/m²,8,1935,,Aktuel værdi
"VillaVVilla Møllegårdsvej 16, Sdr Vium  6893 Hemmet",200.000 kr.,23-10-2025Alm. Salg,126 m² 1.587 kr/m²,4,1969,-18%,Aktuel værdi
LandejendomLLandejendom Vråvejen 24  5970 Ærøskøbing,4.550.000 kr.,23-10-2025Alm. Salg,274 m² 16.606 kr/m²,6,1996,,Aktuel værdi
"VillaVVilla Frøsigvej 3, Mejlby  8981 Spentrup",1.230.000 kr.,23-10-2025Alm. Salg,134 m² 9.179 kr/m²,5,1973,-5%,Aktuel værdi
"LandejendomLLandejendom Krogsbøllevej 5, Skelsbæk  5450 Otterup",100.000 kr.,23-10-2025Alm. Salg,110 m² 909 kr/m²,4,1877,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 17, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
VillaVVilla Hejrevej 57  4000 Roskilde,4.695.000 kr.,23-10-2025Alm. Salg,91 m² 51.593 kr/m²,4,1961,4%,Aktuel værdi
"VillaVVilla Ollundsbjerg 14, Tandslet  6470 Sydals",725.000 kr.,23-10-2025Alm. Salg,117 m² 6.197 kr/m²,4,1969,-3%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 19, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,98 m² 452.041 kr/m²,4,1992,,Aktuel værdi
"VillaVVilla Lykkegårdsvej 344, Toustrup Mark  8472 Sporup",1.150.000 kr.,23-10-2025Alm. Salg,128 m² 8.984 kr/m²,4,1960,-7%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Lundbyesgade 21, 1. th  8000 Aarhus C",3.675.000 kr.,23-10-2025Alm. Salg,77 m² 47.727 kr/m²,3,1925,,Aktuel værdi
FritidshusFFritidshus Solvej 12  3300 Frederiksværk,3.059.000 kr.,23-10-2025Fam. Salg,119 m² 25.706 kr/m²,5,1981,,Aktuel værdi
VillaVVilla Reventlowsvej 34  5000 Odense C,5.550.000 kr.,23-10-2025Alm. Salg,138 m² 40.217 kr/m²,5,1928,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Søndersøvej 33B, st. tv  2820 Gentofte",2.350.000 kr.,23-10-2025Alm. Salg,56 m² 41.964 kr/m²,2,1934,-2%,Aktuel værdi
"FritidshusFFritidshus Østersvej 8, Bildsø  4200 Slagelse",796.450 kr.,23-10-2025Fam. Salg,65 m² 12.253 kr/m²,3,1973,,Aktuel værdi
RækkehusRRækkehus Lange Eng 48  2620 Albertslund,4.100.000 kr.,23-10-2025Alm. Salg,95 m² 43.158 kr/m²,4,2008,3%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 21, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"VillaVVilla Havelund 11, Viborg  8800 Viborg",4.525.000 kr.,23-10-2025Alm. Salg,222 m² 20.383 kr/m²,8,2015,-3%,Aktuel værdi
VillaVVilla Septembervej 44  2860 Søborg,4.401.000 kr.,23-10-2025Alm. Salg,131 m² 33.595 kr/m²,5,1955,0%,Aktuel værdi
"FritidshusFFritidshus Degnersvej 11, Dalby Huse  3630 Jægerspris",580.000 kr.,23-10-2025Alm. Salg,32 m² 18.125 kr/m²,2,1969,-3%,Aktuel værdi
"FritidshusFFritidshus Strandvænget 6, Saksild Str  8300 Odder",2.999.000 kr.,23-10-2025Alm. Salg,143 m² 20.972 kr/m²,6,2020,,Aktuel værdi
VillaVVilla Damgårdsvej 46  3460 Birkerød,7.935.000 kr.,23-10-2025Alm. Salg,151 m² 52.550 kr/m²,5,1958,-1%,Aktuel værdi
VillaVVilla Rendsagervej 83  2625 Vallensbæk,4.550.000 kr.,23-10-2025Alm. Salg,109 m² 41.743 kr/m²,4,1973,-1%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Dronningens Tværgade 50, 3. 3  1302 København K",3.500.000 kr.,23-10-2025Fam. Salg,84 m² 41.667 kr/m²,3,1956,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Alsgade 3D, 1.  6400 Sønderborg",4.850.000 kr.,23-10-2025Alm. Salg,63 m² 76.984 kr/m²,2,1906,,Aktuel værdi
VillaVVilla Mysundevej 6  8600 Silkeborg,4.200.000 kr.,23-10-2025Andet,248 m² 16.935 kr/m²,7,1972,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 6, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,67 m² 661.194 kr/m²,2,1992,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Sundkaj 35, 5. th  2150 Nordhavn",14.995.000 kr.,23-10-2025Andet,147 m² 102.007 kr/m²,4,2019,,Aktuel værdi
VillaVVilla Fjordvejen 8  7600 Struer,8.900.000 kr.,23-10-2025Alm. Salg,295 m² 30.169 kr/m²,6,2017,-1%,Aktuel værdi
VillaVVilla Bredegårds Alle 32  2650 Hvidovre,5.010.000 kr.,23-10-2025Alm. Salg,117 m² 42.821 kr/m²,4,1967,0%,Aktuel værdi
VillaVVilla Torvegade 19  7600 Struer,1.200.000 kr.,23-10-2025Alm. Salg,111 m² 10.811 kr/m²,4,1914,,Aktuel værdi
VillaVVilla Sdr Bindslevvej 17  9881 Bindslev,725.000 kr.,23-10-2025Alm. Salg,155 m² 4.677 kr/m²,3,1956,-19%,Aktuel værdi
VillaVVilla Engvej 13  6240 Løgumkloster,950.000 kr.,23-10-2025Alm. Salg,151 m² 6.291 kr/m²,5,1965,-5%,Aktuel værdi
VillaVVilla Bülowsvej 4  4660 Store Heddinge,1.670.000 kr.,23-10-2025Alm. Salg,180 m² 9.278 kr/m²,7,1965,-1%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Haderslevgade 20, 1. tv  1671 København V",4.510.000 kr.,23-10-2025Alm. Salg,58 m² 77.759 kr/m²,2,1903,0%,Aktuel værdi
VillaVVilla Overgade 23  8700 Horsens,1.145.000 kr.,23-10-2025Alm. Salg,89 m² 12.865 kr/m²,3,1948,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 25, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Flakholmen 6, 3.  2720 Vanløse",5.275.000 kr.,23-10-2025Alm. Salg,112 m² 47.098 kr/m²,3,1938,-2%,Aktuel værdi
VillaVVilla Rødtjørnevej 23  7000 Fredericia,1.651.000 kr.,23-10-2025Alm. Salg,139 m² 11.878 kr/m²,5,2004,10%,Aktuel værdi
"FritidshusFFritidshus Aaensvej 40, Bratten  9981 Jerup",200.000 kr.,23-10-2025Fam. Salg,285 m² 702 kr/m²,10,0,,Aktuel værdi
"VillaVVilla Skejbytoften 15, Skejby  8200 Aarhus N",4.730.000 kr.,23-10-2025Alm. Salg,146 m² 32.397 kr/m²,6,1997,-5%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 12, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
RækkehusRRækkehus Pennehave 3A  2960 Rungsted Kyst,4.200.000 kr.,23-10-2025Alm. Salg,110 m² 38.182 kr/m²,4,1982,-2%,Aktuel værdi
VillaVVilla Kirkevej 3  8670 Låsby,3.150.000 kr.,23-10-2025Alm. Salg,146 m² 21.575 kr/m²,4,1940,,Aktuel værdi
"FritidshusFFritidshus Kjeldbjergvej 39, Fjaltring  7620 Lemvig",2.250.000 kr.,23-10-2025Alm. Salg,170 m² 13.235 kr/m²,7,1915,-2%,Aktuel værdi
VillaVVilla Banevang 10  8500 Grenaa,750.000 kr.,23-10-2025Alm. Salg,104 m² 7.212 kr/m²,3,0,,Aktuel værdi
"FritidshusFFritidshus Rørsangerkrogen 1, Kindvig  4735 Mern",662.150 kr.,23-10-2025Fam. Salg,74 m² 8.948 kr/m²,4,1969,,Aktuel værdi
"VillaVVilla Solvænget 39, Frederiks  7470 Karup J",3.050.000 kr.,23-10-2025Alm. Salg,202 m² 15.099 kr/m²,5,2013,,Aktuel værdi
VillaVVilla Agnethevej 44  9900 Frederikshavn,400.000 kr.,23-10-2025Alm. Salg,95 m² 4.211 kr/m²,5,1943,-19%,Aktuel værdi
VillaVVilla Næbvej 6  4720 Præstø,2.195.000 kr.,23-10-2025Alm. Salg,141 m² 15.567 kr/m²,4,1966,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Sorøparken 5, st. tv  4180 Sorø",890.000 kr.,23-10-2025Alm. Salg,47 m² 18.936 kr/m²,1,1966,-8%,Aktuel værdi
VillaVVilla Kærhaven 17  6731 Tjæreborg,2.173.000 kr.,23-10-2025Alm. Salg,132 m² 16.462 kr/m²,5,1982,-1%,Aktuel værdi
"RækkehusRRækkehus Kobberupvej 71A, Mejrup  7500 Holstebro",900.000 kr.,23-10-2025Alm. Salg,72 m² 12.500 kr/m²,3,1982,-18%,Aktuel værdi
VillaVVilla Holmevej 4  7100 Vejle,2.100.000 kr.,23-10-2025Alm. Salg,102 m² 20.588 kr/m²,4,1965,-4%,Aktuel værdi
RækkehusRRækkehus Bygdevej 4  2830 Virum,7.550.000 kr.,23-10-2025Alm. Salg,127 m² 59.449 kr/m²,6,1950,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Teglgårdsvej 425, 2. tv  3050 Humlebæk",1.075.000 kr.,23-10-2025Alm. Salg,67 m² 16.045 kr/m²,2,1976,,Aktuel værdi
VillaVVilla Egernvej 28  8700 Horsens,1.500.000 kr.,23-10-2025Alm. Salg,115 m² 13.043 kr/m²,4,1973,-12%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Holmehusvej 66, 1.  5000 Odense C",2.900.000 kr.,23-10-2025Alm. Salg,74 m² 39.189 kr/m²,4,1950,-3%,Aktuel værdi
"FritidshusFFritidshus Birkemose 58, Skovmose  6470 Sydals",950.000 kr.,23-10-2025Alm. Salg,49 m² 19.388 kr/m²,3,1977,-5%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 8, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,67 m² 661.194 kr/m²,2,1992,,Aktuel værdi
"VillaVVilla Langeløkke Alle 6, Melby  5610 Assens",625.000 kr.,23-10-2025Alm. Salg,113 m² 5.531 kr/m²,4,1967,-10%,Aktuel værdi
"FritidshusFFritidshus Gudmindrup Skovkrog 3, Gudmindrup Lyng  4573 Højby",3.495.000 kr.,23-10-2025Alm. Salg,62 m² 56.371 kr/m²,4,1980,,Aktuel værdi
"FritidshusFFritidshus Duevej 13, Bønsvig Str  4720 Præstø",1.120.000 kr.,23-10-2025Alm. Salg,105 m² 10.667 kr/m²,5,2005,-5%,Aktuel værdi
"VillaVVilla Sdr Landevej 39, Balka  3730 Nexø",1.665.000 kr.,23-10-2025Alm. Salg,130 m² 12.808 kr/m²,6,1955,,Aktuel værdi
VillaVVilla Trædballehusvej 4  7100 Vejle,1.950.000 kr.,23-10-2025Alm. Salg,117 m² 16.667 kr/m²,4,1962,,Aktuel værdi
"RækkehusRRækkehus Lysalleen 7G, Himmelev  4000 Roskilde",5.500.000 kr.,23-10-2025Alm. Salg,148 m² 37.162 kr/m²,6,2015,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 22, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 10, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"FritidshusFFritidshus Fasanlunden 18, Kramnitze  4970 Rødby",1.000.000 kr.,23-10-2025Alm. Salg,54 m² 18.519 kr/m²,3,1977,-9%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Banevolden 44, 1. 13  2500 Valby",2.200.000 kr.,23-10-2025Alm. Salg,40 m² 55.000 kr/m²,1,1975,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 34, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,98 m² 452.041 kr/m²,4,1992,,Aktuel værdi
VillaVVilla Møllemarksvej 22  4681 Herfølge,4.295.000 kr.,23-10-2025Alm. Salg,160 m² 26.844 kr/m²,5,2007,-3%,Aktuel værdi
"VillaVVilla Opalvænget 2, Erritsø  7000 Fredericia",1.600.000 kr.,23-10-2025Alm. Salg,97 m² 16.495 kr/m²,4,1968,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Kindhestegade 20B, 2. tv  4700 Næstved",1.675.000 kr.,23-10-2025Alm. Salg,132 m² 12.689 kr/m²,3,1900,-1%,Aktuel værdi
VillaVVilla Østergade 40  7500 Holstebro,3.775.000 kr.,23-10-2025Alm. Salg,280 m² 13.482 kr/m²,9,1914,-4%,Aktuel værdi
VillaVVilla Askehaven 41  4500 Nykøbing Sj,750.000 kr.,23-10-2025Alm. Salg,132 m² 5.682 kr/m²,5,1949,-6%,Aktuel værdi
"VillaVVilla Februarvænget 20, Bramdrupdam  6000 Kolding",2.950.000 kr.,23-10-2025Alm. Salg,170 m² 17.353 kr/m²,4,1979,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Sundby Parkvej 11, 3. tv  2300 København S",8.600.000 kr.,23-10-2025Alm. Salg,126 m² 68.254 kr/m²,4,2007,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Højvangsvej 30, st. th  2600 Glostrup",3.600.000 kr.,23-10-2025Alm. Salg,117 m² 30.769 kr/m²,4,1934,-6%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 33, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 13, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"VillaVVilla Mommarkvej 25, Vollerup  6400 Sønderborg",1.000.000 kr.,23-10-2025Alm. Salg,106 m² 9.434 kr/m²,3,1961,,Aktuel værdi
VillaVVilla Banevang 6  8500 Grenaa,750.000 kr.,23-10-2025Alm. Salg,104 m² 7.212 kr/m²,3,0,,Aktuel værdi
"FritidshusFFritidshus Trinnesvej 9, Bolilmark  6792 Rømø",2.296.666 kr.,23-10-2025Alm. Salg,86 m² 26.705 kr/m²,4,1996,2%,Aktuel værdi
EjerlejlighedEEjerlejlighed Skolevej 60B  8464 Galten,585.000 kr.,23-10-2025Alm. Salg,58 m² 10.086 kr/m²,2,1949,-10%,Aktuel værdi
"VillaVVilla Reventlowsvej 64, Korinth  5600 Faaborg",400.000 kr.,23-10-2025Alm. Salg,117 m² 3.419 kr/m²,4,1950,-33%,Aktuel værdi
"RækkehusRRækkehus Gassehaven 37, Gl Holte  2840 Holte",6.100.000 kr.,23-10-2025Alm. Salg,143 m² 42.657 kr/m²,5,1978,-6%,Aktuel værdi
"VillaVVilla Thorseng 5, Tåsinge  5700 Svendborg",1.900.000 kr.,23-10-2025Alm. Salg,104 m² 18.269 kr/m²,5,1972,-9%,Aktuel værdi
"FritidshusFFritidshus Skovduevej 35, Villingerød  3120 Dronningmølle",3.200.000 kr.,23-10-2025Alm. Salg,104 m² 30.769 kr/m²,3,2005,-8%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 37, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,91 m² 486.813 kr/m²,3,1993,,Aktuel værdi
VillaVVilla Bakkebo 5  3550 Slangerup,3.750.000 kr.,23-10-2025Alm. Salg,140 m² 26.786 kr/m²,4,1989,-1%,Aktuel værdi
VillaVVilla Grejsdals Vænge 11  7100 Vejle,1.575.000 kr.,23-10-2025Alm. Salg,91 m² 17.308 kr/m²,3,1952,-1%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 20, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 32, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
RækkehusRRækkehus Nymarks Vænge 26  4000 Roskilde,2.650.000 kr.,23-10-2025Alm. Salg,82 m² 32.317 kr/m²,3,1960,-5%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ordrupvej 76B, 2. th  2920 Charlottenlund",3.200.000 kr.,23-10-2025Alm. Salg,62 m² 51.613 kr/m²,2,1933,,Aktuel værdi
"VillaVVilla Vestervang 28, Øster Højst  6240 Løgumkloster",550.000 kr.,23-10-2025Alm. Salg,128 m² 4.297 kr/m²,4,1979,11%,Aktuel værdi
"FritidshusFFritidshus Dortesvej 3, Lyngså  9300 Sæby",1.100.000 kr.,23-10-2025Alm. Salg,76 m² 14.474 kr/m²,4,1972,-8%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 30, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
"FritidshusFFritidshus Sdr. Skovvej 29, Houstrup  6830 Nørre Nebel",1.375.000 kr.,23-10-2025Alm. Salg,90 m² 15.278 kr/m²,4,1973,6%,Aktuel værdi
VillaVVilla Nyrupvej 83  4180 Sorø,1.630.000 kr.,23-10-2025Alm. Salg,130 m² 12.538 kr/m²,4,1959,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Harsdorffsvej 11, 1. 2  1874 Frederiksberg C",2.315.000 kr.,23-10-2025Fam. Salg,63 m² 36.746 kr/m²,2,1974,,Aktuel værdi
"VillaVVilla Helstrupvej 13, Snejbjerg  7400 Herning",1.475.000 kr.,23-10-2025Alm. Salg,109 m² 13.532 kr/m²,5,1939,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 23, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
VillaVVilla Ritavej 41  9000 Aalborg,2.000.000 kr.,23-10-2025Alm. Salg,188 m² 10.638 kr/m²,4,1963,-5%,Aktuel værdi
FritidshusFFritidshus Høgeuglevej 14  4873 Væggerløse,1.650.000 kr.,23-10-2025Alm. Salg,70 m² 23.571 kr/m²,3,1965,-6%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Regenburgsgade 12, 4. th  8000 Aarhus C",2.800.000 kr.,23-10-2025Alm. Salg,74 m² 37.838 kr/m²,3,1938,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Alsgade 3C, 1.  6400 Sønderborg",4.850.000 kr.,23-10-2025Alm. Salg,112 m² 43.304 kr/m²,4,1906,,Aktuel værdi
FritidshusFFritidshus Jættevej 51  2740 Skovlunde,260.000 kr.,23-10-2025Alm. Salg,45 m² 5.778 kr/m²,2,1982,,Aktuel værdi
"VillaVVilla Egekrattet 23, Høje Taastrup  2630 Taastrup",5.500.000 kr.,23-10-2025Alm. Salg,161 m² 34.161 kr/m²,5,1997,-2%,Aktuel værdi
VillaVVilla Banevang 4  8500 Grenaa,750.000 kr.,23-10-2025Alm. Salg,104 m² 7.212 kr/m²,3,0,,Aktuel værdi
VillaVVilla Høgesti 5  6000 Kolding,4.620.000 kr.,23-10-2025Alm. Salg,152 m² 30.395 kr/m²,7,1918,-6%,Aktuel værdi
VillaVVilla Egebjerghuse 20  2750 Ballerup,5.100.000 kr.,23-10-2025Alm. Salg,169 m² 30.178 kr/m²,6,1985,-4%,Aktuel værdi
"FritidshusFFritidshus Blåmunkevej 52, Vorupør  7700 Thisted",1.310.000 kr.,23-10-2025Alm. Salg,67 m² 19.552 kr/m²,3,1966,-6%,Aktuel værdi
VillaVVilla Vandværksvej 2  9560 Hadsund,1.300.000 kr.,23-10-2025Alm. Salg,177 m² 7.345 kr/m²,4,1947,,Aktuel værdi
VillaVVilla Skovparken 214  7190 Billund,8.560.315 kr.,23-10-2025Andet,204 m² 41.962 kr/m²,6,2021,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Alsgade 3C, 2.  6400 Sønderborg",4.850.000 kr.,23-10-2025Alm. Salg,81 m² 59.877 kr/m²,3,1906,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Østre Havnegade 52, 5. mf  9000 Aalborg",6.550.000 kr.,23-10-2025Alm. Salg,152 m² 43.092 kr/m²,3,2015,2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Christian X's Vej 10, st. th  8260 Viby J",1.200.000 kr.,23-10-2025Alm. Salg,49 m² 24.490 kr/m²,2,1971,-4%,Aktuel værdi
VillaVVilla Hollændervej 145  5500 Middelfart,1.350.000 kr.,23-10-2025Alm. Salg,111 m² 12.162 kr/m²,4,1968,-10%,Aktuel værdi
RækkehusRRækkehus Fenris Alle 89  9230 Svenstrup J,2.400.000 kr.,23-10-2025Alm. Salg,128 m² 18.750 kr/m²,5,2022,-3%,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 28, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1992,,Aktuel værdi
VillaVVilla Klostergyde 3  9300 Sæby,3.595.000 kr.,23-10-2025Alm. Salg,130 m² 27.654 kr/m²,4,1907,,Aktuel værdi
VillaVVilla Gammel Flensborgvej 16  6200 Aabenraa,4.645.000 kr.,23-10-2025Fam. Salg,214 m² 21.706 kr/m²,6,1941,,Aktuel værdi
"VillaVVilla Sæbyvej 351, Ilbro  9800 Hjørring",250.000 kr.,23-10-2025Alm. Salg,185 m² 1.351 kr/m²,6,1916,,Aktuel værdi
"RækkehusRRækkehus Kløvermarken 3, Hvalsø  4330 Hvalsø",44.300.000 kr.,23-10-2025Andet,86 m² 515.116 kr/m²,3,1993,,Aktuel værdi
